point_id,point_no,point_name,map_x,map_y,memo,created,deleted_flg
23,6,カーブミラーのある交差点,0,0,令和４年度より削除,2024-01-27,1
4,4,東雪谷５丁目１８番地,0,0,令和３年度より削除,2023-09-25,1
1,1,魚屋「魚栄」付近,20,54,,2023-09-25,
5,5,正門坂上十字路,26,71,,2023-09-25,
3,3,正門坂下横断歩道,37,64,,2023-09-25,
24,7,公務員住宅坂上角,35,78,,2024-01-27,
25,8,公務員住宅坂下角,43,81,,2024-01-27,
26,9,海員組合住宅付近（五叉路）,52,78,,2024-01-27,
28,11,駐在所付近,68,70,,2024-01-27,
29,12,猿坂上角,86,76,,2024-01-27,
36,19,西河屋前交差点,49,55,令和３年度に位置変更,2024-01-27,
30,13,郵便局前,45,55,,2024-01-27,
27,10,鳥安、だいた接骨院付近,55,70,,2024-01-27,
37,20,新幹線ガード下トンネル（みどり幼稚園側）,57,53,令和３年度に位置変更,2024-01-27,
32,15,プリン公園付近,52,33,,2024-01-27,
33,16,仲池上児童館付近,55,29,,2024-01-27,
31,14,パルシステムそば横断歩道,48,44,,2024-01-27,
34,17,コーヒー工場付近,59,21,,2024-01-27,
35,18,仲池上会館付近,63,12,,2024-01-27,
40,23,大森十中グランド横,90,11,,2024-01-27,
39,22,林昌寺下付近,69,34,,2024-01-27,
38,21,子安八幡神社下付近,60,43,,2024-01-27,
2,2,南門付近,30,57,,2023-09-25,
41,24,ヤマト運輸付近,75,72,令和５年度より追加,2024-01-27,
